psgc10,name,province,region,mayor_votes_2016,mayor_votes_2019,mayor_votes_2022,mayor_votes_2025
1400112000,Langiden,Abra,Cordillera Administrative Region (CAR),2376.0,2223.0,2237.0,2385.0
1400113000,Licuan-Baay,Abra,Cordillera Administrative Region (CAR),3404.0,3290.0,3552.0,3660.0
1400114000,Luba,Abra,Cordillera Administrative Region (CAR),3596.0,3083.0,3335.0,4501.0
1400115000,Malibcong,Abra,Cordillera Administrative Region (CAR),2433.0,2389.0,2498.0,2766.0
1400116000,Manabo,Abra,Cordillera Administrative Region (CAR),5385.0,6846.0,6991.0,6954.0
1400117000,Peñarrubia,Abra,Cordillera Administrative Region (CAR),3649.0,4014.0,3007.0,4401.0
1400118000,Pidigan,Abra,Cordillera Administrative Region (CAR),7071.0,7281.0,7447.0,8787.0
1400119000,Pilar,Abra,Cordillera Administrative Region (CAR),5558.0,6215.0,6501.0,7397.0
1400120000,Sallapadan,Abra,Cordillera Administrative Region (CAR),4058.0,3925.0,4548.0,4893.0
1400121000,San Isidro,Abra,Cordillera Administrative Region (CAR),2543.0,2079.0,2157.0,3112.0
1400122000,San Juan,Abra,Cordillera Administrative Region (CAR),4718.0,5135.0,5557.0,6072.0
1400123000,San Quintin,Abra,Cordillera Administrative Region (CAR),2357.0,2419.0,3456.0,4111.0
1400124000,Tayum,Abra,Cordillera Administrative Region (CAR),7848.0,8320.0,8460.0,9247.0
1400125000,Tineg,Abra,Cordillera Administrative Region (CAR),2004.0,2170.0,2435.0,2703.0
1400126000,Tubo,Abra,Cordillera Administrative Region (CAR),2597.0,2855.0,3442.0,3593.0
1400127000,Villaviciosa,Abra,Cordillera Administrative Region (CAR),2713.0,3067.0,3140.0,3870.0
1401101000,Atok,Benguet,Cordillera Administrative Region (CAR),8685.0,8982.0,10009.0,9879.0
1401103000,Bakun,Benguet,Cordillera Administrative Region (CAR),7580.0,7820.0,8816.0,8969.0
1401104000,Bokod,Benguet,Cordillera Administrative Region (CAR),7582.0,7902.0,8842.0,9306.0
1401105000,Buguias,Benguet,Cordillera Administrative Region (CAR),14836.0,14824.0,20408.0,21340.0
1401106000,Itogon,Benguet,Cordillera Administrative Region (CAR),22765.0,23349.0,27905.0,27800.0
1401107000,Kabayan,Benguet,Cordillera Administrative Region (CAR),6984.0,7355.0,8699.0,9206.0
1401108000,Kapangan,Benguet,Cordillera Administrative Region (CAR),9213.0,8407.0,11188.0,11639.0
1401109000,Kibungan,Benguet,Cordillera Administrative Region (CAR),7323.0,7682.0,7220.0,9086.0
1401110000,La Trinidad ,Benguet,Cordillera Administrative Region (CAR),31861.0,32001.0,42502.0,42372.0
1401111000,Mankayan,Benguet,Cordillera Administrative Region (CAR),14974.0,15429.0,17824.0,18237.0
1401112000,Sablan,Benguet,Cordillera Administrative Region (CAR),4528.0,5572.0,6674.0,6615.0
1401113000,Tuba,Benguet,Cordillera Administrative Region (CAR),18172.0,19086.0,21559.0,21240.0
1401114000,Tublay,Benguet,Cordillera Administrative Region (CAR),8012.0,8415.0,9450.0,10355.0
1402701000,Banaue,Ifugao,Cordillera Administrative Region (CAR),7744.0,10280.0,11438.0,12531.0
1402702000,Hungduan,Ifugao,Cordillera Administrative Region (CAR),4280.0,4750.0,5200.0,4714.0
1402703000,Kiangan,Ifugao,Cordillera Administrative Region (CAR),7724.0,7982.0,7622.0,7084.0
1402704000,Lagawe ,Ifugao,Cordillera Administrative Region (CAR),8653.0,9135.0,10526.0,11738.0
1402705000,Lamut,Ifugao,Cordillera Administrative Region (CAR),11980.0,9947.0,15159.0,15544.0
1402706000,Mayoyao,Ifugao,Cordillera Administrative Region (CAR),5939.0,6476.0,5650.0,7231.0
1402707000,Alfonso Lista,Ifugao,Cordillera Administrative Region (CAR),13546.0,14529.0,17152.0,18249.0
1402708000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),8537.0,7913.0,10891.0,11823.0
1402709000,Hingyon,Ifugao,Cordillera Administrative Region (CAR),5996.0,4442.0,6814.0,6332.0
1402710000,Tinoc,Ifugao,Cordillera Administrative Region (CAR),7174.0,8142.0,9537.0,9849.0
1402711000,Asipulo,Ifugao,Cordillera Administrative Region (CAR),5478.0,4355.0,6809.0,6923.0
1403201000,Balbalan,Kalinga,Cordillera Administrative Region (CAR),5833.0,7299.0,8093.0,8275.0
1403206000,Lubuagan,Kalinga,Cordillera Administrative Region (CAR),4700.0,6675.0,8998.0,8760.0
1403208000,Pasil,Kalinga,Cordillera Administrative Region (CAR),5714.0,3776.0,6232.0,6783.0
1403209000,Pinukpuk,Kalinga,Cordillera Administrative Region (CAR),13512.0,15271.0,17126.0,18300.0
1403211000,Rizal,Kalinga,Cordillera Administrative Region (CAR),8676.0,10546.0,8355.0,12304.0
1403213000,City of Tabuk ,Kalinga,Cordillera Administrative Region (CAR),37564.0,48594.0,58937.0,47759.0
1403214000,Tanudan,Kalinga,Cordillera Administrative Region (CAR),6314.0,7360.0,8899.0,7412.0
1403215000,Tinglayan,Kalinga,Cordillera Administrative Region (CAR),7207.0,8283.0,10255.0,10830.0
1404401000,Barlig,Mountain Province,Cordillera Administrative Region (CAR),287.0,3093.0,2370.0,3493.0
1404402000,Bauko,Mountain Province,Cordillera Administrative Region (CAR),15235.0,16237.0,18802.0,19924.0
1404403000,Besao,Mountain Province,Cordillera Administrative Region (CAR),3083.0,3245.0,4711.0,4252.0
1404404000,Bontoc ,Mountain Province,Cordillera Administrative Region (CAR),8681.0,11456.0,13888.0,14247.0
1404405000,Natonin,Mountain Province,Cordillera Administrative Region (CAR),3820.0,5956.0,6710.0,6755.0
1404406000,Paracelis,Mountain Province,Cordillera Administrative Region (CAR),7375.0,13054.0,15577.0,18336.0
1404407000,Sabangan,Mountain Province,Cordillera Administrative Region (CAR),5591.0,5604.0,6856.0,5579.0
1404408000,Sadanga,Mountain Province,Cordillera Administrative Region (CAR),4470.0,4678.0,5284.0,5403.0
1404409000,Sagada,Mountain Province,Cordillera Administrative Region (CAR),5410.0,5914.0,6806.0,7595.0
1404410000,Tadian,Mountain Province,Cordillera Administrative Region (CAR),7202.0,9350.0,8193.0,8830.0
1408101000,Calanasan,Apayao,Cordillera Administrative Region (CAR),5337.0,6086.0,7037.0,7608.0
1408102000,Conner,Apayao,Cordillera Administrative Region (CAR),7611.0,11915.0,14026.0,15937.0
1408103000,Flora,Apayao,Cordillera Administrative Region (CAR),6238.0,6943.0,9128.0,9983.0
1408104000,Kabugao ,Apayao,Cordillera Administrative Region (CAR),6378.0,6440.0,9233.0,7014.0
1408105000,Luna,Apayao,Cordillera Administrative Region (CAR),8042.0,7760.0,8396.0,11238.0
1408106000,Pudtol,Apayao,Cordillera Administrative Region (CAR),5917.0,5940.0,6446.0,8753.0
1408107000,Santa Marcela,Apayao,Cordillera Administrative Region (CAR),4482.0,6322.0,5718.0,6445.0
1430300000,City of Baguio,Cordillera Administrative Region (CAR),Cordillera Administrative Region (CAR),111123.0,111238.0,135934.0,129652.0
0102801000,Adams,Ilocos Norte,Region I (Ilocos Region),1121.0,1420.0,1693.0,1730.0
0102802000,Bacarra,Ilocos Norte,Region I (Ilocos Region),16200.0,17409.0,16164.0,14489.0
0102803000,Badoc,Ilocos Norte,Region I (Ilocos Region),16590.0,17949.0,15520.0,19763.0
0102804000,Bangui,Ilocos Norte,Region I (Ilocos Region),8857.0,5867.0,9602.0,10135.0
0102805000,City of Batac,Ilocos Norte,Region I (Ilocos Region),28883.0,31253.0,33834.0,35681.0
0102806000,Burgos,Ilocos Norte,Region I (Ilocos Region),5444.0,4357.0,4847.0,6766.0
0102807000,Carasi,Ilocos Norte,Region I (Ilocos Region),1078.0,1046.0,1159.0,1286.0
0102808000,Currimao,Ilocos Norte,Region I (Ilocos Region),6128.0,7927.0,9426.0,9347.0
0102809000,Dingras,Ilocos Norte,Region I (Ilocos Region),18582.0,20634.0,19052.0,17475.0
0102810000,Dumalneg,Ilocos Norte,Region I (Ilocos Region),1189.0,1402.0,1400.0,1614.0
0102811000,Banna,Ilocos Norte,Region I (Ilocos Region),7877.0,9693.0,9689.0,9953.0
0102812000,City of Laoag ,Ilocos Norte,Region I (Ilocos Region),48778.0,57817.0,66939.0,71236.0
0102813000,Marcos,Ilocos Norte,Region I (Ilocos Region),8623.0,10562.0,9018.0,8772.0
0102814000,Nueva Era,Ilocos Norte,Region I (Ilocos Region),3896.0,4244.0,4977.0,5419.0
0102815000,Pagudpud,Ilocos Norte,Region I (Ilocos Region),12156.0,13596.0,16348.0,17587.0
0102816000,Paoay,Ilocos Norte,Region I (Ilocos Region),13718.0,14247.0,15316.0,15818.0
0102817000,Pasuquin,Ilocos Norte,Region I (Ilocos Region),17152.0,17356.0,15646.0,18999.0
0102818000,Piddig,Ilocos Norte,Region I (Ilocos Region),9286.0,11301.0,12578.0,10747.0
0102819000,Pinili,Ilocos Norte,Region I (Ilocos Region),7941.0,9965.0,10922.0,10814.0
0102820000,San Nicolas,Ilocos Norte,Region I (Ilocos Region),15961.0,14248.0,22731.0,22741.0
0102821000,Sarrat,Ilocos Norte,Region I (Ilocos Region),14223.0,14355.0,14722.0,15724.0
0102822000,Solsona,Ilocos Norte,Region I (Ilocos Region),13055.0,14222.0,15758.0,15332.0
0102823000,Vintar,Ilocos Norte,Region I (Ilocos Region),16156.0,16016.0,18941.0,18583.0
0102901000,Alilem,Ilocos Sur,Region I (Ilocos Region),2973.0,3484.0,3954.0,4398.0
0102902000,Banayoyo,Ilocos Sur,Region I (Ilocos Region),4718.0,4846.0,5537.0,5920.0
0102903000,Bantay,Ilocos Sur,Region I (Ilocos Region),13669.0,14438.0,14666.0,15794.0
0102904000,Burgos,Ilocos Sur,Region I (Ilocos Region),6829.0,7245.0,6740.0,7123.0
0102905000,Cabugao,Ilocos Sur,Region I (Ilocos Region),17761.0,21724.0,24611.0,23664.0
0102906000,City of Candon,Ilocos Sur,Region I (Ilocos Region),27343.0,27306.0,31824.0,30278.0
0102907000,Caoayan,Ilocos Sur,Region I (Ilocos Region),7773.0,11043.0,11869.0,12171.0
0102908000,Cervantes,Ilocos Sur,Region I (Ilocos Region),8033.0,7450.0,8760.0,10729.0
0102909000,Galimuyod,Ilocos Sur,Region I (Ilocos Region),5866.0,6039.0,6368.0,5798.0
0102910000,Gregorio del Pilar,Ilocos Sur,Region I (Ilocos Region),2723.0,2912.0,2379.0,3060.0
0102911000,Lidlidda,Ilocos Sur,Region I (Ilocos Region),2760.0,2937.0,3052.0,3311.0
0102912000,Magsingal,Ilocos Sur,Region I (Ilocos Region),10045.0,13118.0,17977.0,16056.0
0102913000,Nagbukel,Ilocos Sur,Region I (Ilocos Region),3228.0,2928.0,3275.0,3306.0
0102914000,Narvacan,Ilocos Sur,Region I (Ilocos Region),15913.0,24546.0,26907.0,26745.0
0102915000,Quirino,Ilocos Sur,Region I (Ilocos Region),3545.0,5447.0,4543.0,6494.0
0102916000,Salcedo,Ilocos Sur,Region I (Ilocos Region),5097.0,5824.0,6033.0,6552.0
0102917000,San Emilio,Ilocos Sur,Region I (Ilocos Region),3911.0,4294.0,4811.0,4883.0
0102918000,San Esteban,Ilocos Sur,Region I (Ilocos Region),4396.0,4657.0,4957.0,4800.0
0102919000,San Ildefonso,Ilocos Sur,Region I (Ilocos Region),4430.0,3822.0,5023.0,4233.0
0102920000,San Juan,Ilocos Sur,Region I (Ilocos Region),13214.0,14408.0,13309.0,13943.0
0102921000,San Vicente,Ilocos Sur,Region I (Ilocos Region),5712.0,6022.0,7902.0,8215.0
0102922000,Santa,Ilocos Sur,Region I (Ilocos Region),7595.0,7884.0,7351.0,8403.0
0102923000,Santa Catalina,Ilocos Sur,Region I (Ilocos Region),8093.0,8591.0,9102.0,10135.0
0102924000,Santa Cruz,Ilocos Sur,Region I (Ilocos Region),14911.0,16467.0,21039.0,23005.0
0102925000,Santa Lucia,Ilocos Sur,Region I (Ilocos Region),8814.0,12424.0,14854.0,14942.0
0102926000,Santa Maria,Ilocos Sur,Region I (Ilocos Region),15591.0,16683.0,17546.0,18670.0
0102927000,Santiago,Ilocos Sur,Region I (Ilocos Region),9810.0,10050.0,11302.0,12545.0
0102928000,Santo Domingo,Ilocos Sur,Region I (Ilocos Region),14439.0,13233.0,16971.0,18412.0
0102929000,Sigay,Ilocos Sur,Region I (Ilocos Region),1150.0,1702.0,1770.0,1485.0
0102930000,Sinait,Ilocos Sur,Region I (Ilocos Region),14483.0,15254.0,16531.0,15075.0
0102931000,Sugpon,Ilocos Sur,Region I (Ilocos Region),1173.0,2216.0,1949.0,2545.0
0102932000,Suyo,Ilocos Sur,Region I (Ilocos Region),4958.0,5976.0,5393.0,4834.0
0102933000,Tagudin,Ilocos Sur,Region I (Ilocos Region),19378.0,21307.0,24396.0,26224.0
0102934000,City of Vigan ,Ilocos Sur,Region I (Ilocos Region),20550.0,21004.0,29887.0,23272.0
0103301000,Agoo,La Union,Region I (Ilocos Region),30067.0,31794.0,37967.0,40932.0
0103302000,Aringay,La Union,Region I (Ilocos Region),22779.0,23828.0,27242.0,28026.0
0103303000,Bacnotan,La Union,Region I (Ilocos Region),21583.0,20854.0,21295.0,23426.0
0103304000,Bagulin,La Union,Region I (Ilocos Region),6581.0,7353.0,8437.0,8471.0
0103305000,Balaoan,La Union,Region I (Ilocos Region),18646.0,20663.0,22721.0,22641.0
0103306000,Bangar,La Union,Region I (Ilocos Region),16617.0,16474.0,17826.0,18795.0
0103307000,Bauang,La Union,Region I (Ilocos Region),33387.0,35803.0,42196.0,44720.0
0103308000,Burgos,La Union,Region I (Ilocos Region),4742.0,5201.0,5741.0,5195.0
0103309000,Caba,La Union,Region I (Ilocos Region),12686.0,13601.0,12145.0,16617.0
0103310000,Luna,La Union,Region I (Ilocos Region),17046.0,18936.0,21435.0,20385.0
0103311000,Naguilian,La Union,Region I (Ilocos Region),24625.0,27443.0,29930.0,31481.0
0103312000,Pugo,La Union,Region I (Ilocos Region),9388.0,9744.0,7608.0,13178.0
0103313000,Rosario,La Union,Region I (Ilocos Region),24505.0,24084.0,29743.0,32421.0
0103314000,City of San Fernando ,La Union,Region I (Ilocos Region),54743.0,57031.0,65916.0,66406.0
0103315000,San Gabriel,La Union,Region I (Ilocos Region),8506.0,9696.0,11563.0,11585.0
0103316000,San Juan,La Union,Region I (Ilocos Region),15861.0,20376.0,20813.0,24501.0
0103317000,Santo Tomas,La Union,Region I (Ilocos Region),18280.0,18779.0,21542.0,23507.0
0103318000,Santol,La Union,Region I (Ilocos Region),6755.0,7726.0,7996.0,8637.0
0103319000,Sudipen,La Union,Region I (Ilocos Region),10337.0,11595.0,11219.0,11790.0
0103320000,Tubao,La Union,Region I (Ilocos Region),13175.0,15527.0,17235.0,17538.0
0105501000,Agno,Pangasinan,Region I (Ilocos Region),13356.0,14333.0,17091.0,18421.0
0105502000,Aguilar,Pangasinan,Region I (Ilocos Region),19131.0,21664.0,25542.0,26933.0
0105503000,City of Alaminos,Pangasinan,Region I (Ilocos Region),38316.0,42102.0,51462.0,42255.0
0105504000,Alcala,Pangasinan,Region I (Ilocos Region),19462.0,22599.0,25119.0,26026.0
0105505000,Anda,Pangasinan,Region I (Ilocos Region),18287.0,18734.0,22077.0,20242.0
0105506000,Asingan,Pangasinan,Region I (Ilocos Region),28815.0,30095.0,27743.0,21609.0
0105507000,Balungao,Pangasinan,Region I (Ilocos Region),13085.0,15770.0,17506.0,18793.0
0105508000,Bani,Pangasinan,Region I (Ilocos Region),22346.0,23571.0,26375.0,26419.0
0105509000,Basista,Pangasinan,Region I (Ilocos Region),15964.0,18189.0,21343.0,22704.0
0105510000,Bautista,Pangasinan,Region I (Ilocos Region),14410.0,15789.0,18381.0,19373.0
0105511000,Bayambang,Pangasinan,Region I (Ilocos Region),53247.0,59558.0,69586.0,65704.0
0105512000,Binalonan,Pangasinan,Region I (Ilocos Region),21664.0,26807.0,31544.0,31611.0
0105513000,Binmaley,Pangasinan,Region I (Ilocos Region),44101.0,47242.0,51584.0,52736.0
0105514000,Bolinao,Pangasinan,Region I (Ilocos Region),28121.0,30937.0,38132.0,39288.0
0105515000,Bugallon,Pangasinan,Region I (Ilocos Region),32054.0,34874.0,41316.0,47091.0
0105516000,Burgos,Pangasinan,Region I (Ilocos Region),9139.0,10167.0,11638.0,12276.0
0105517000,Calasiao,Pangasinan,Region I (Ilocos Region),45169.0,50422.0,57365.0,48591.0
0105518000,City of Dagupan,Pangasinan,Region I (Ilocos Region),75114.0,97073.0,120958.0,124177.0
0105519000,Dasol,Pangasinan,Region I (Ilocos Region),17450.0,18004.0,19905.0,20707.0
0105520000,Infanta,Pangasinan,Region I (Ilocos Region),12607.0,12953.0,14407.0,15755.0
0105521000,Labrador,Pangasinan,Region I (Ilocos Region),13096.0,14753.0,16216.0,17320.0
0105522000,Lingayen ,Pangasinan,Region I (Ilocos Region),46270.0,51528.0,60773.0,61513.0
0105523000,Mabini,Pangasinan,Region I (Ilocos Region),11942.0,13072.0,15126.0,15824.0
0105524000,Malasiqui,Pangasinan,Region I (Ilocos Region),55899.0,46692.0,71704.0,71202.0
0105525000,Manaoag,Pangasinan,Region I (Ilocos Region),33439.0,29626.0,39848.0,41198.0
0105526000,Mangaldan,Pangasinan,Region I (Ilocos Region),46702.0,51812.0,58690.0,59656.0
0105527000,Mangatarem,Pangasinan,Region I (Ilocos Region),19661.0,41008.0,39917.0,46516.0
0105528000,Mapandan,Pangasinan,Region I (Ilocos Region),16467.0,18946.0,22536.0,22532.0
0105529000,Natividad,Pangasinan,Region I (Ilocos Region),12326.0,13655.0,15195.0,16276.0
0105530000,Pozorrubio,Pangasinan,Region I (Ilocos Region),33723.0,36942.0,41814.0,32580.0
0105531000,Rosales,Pangasinan,Region I (Ilocos Region),32351.0,34421.0,38636.0,35008.0
0105532000,City of San Carlos,Pangasinan,Region I (Ilocos Region),76926.0,83096.0,101017.0,107019.0
0105533000,San Fabian,Pangasinan,Region I (Ilocos Region),36971.0,39599.0,46486.0,37175.0
0105534000,San Jacinto,Pangasinan,Region I (Ilocos Region),18706.0,20945.0,24269.0,19287.0
0105535000,San Manuel,Pangasinan,Region I (Ilocos Region),17834.0,19834.0,25429.0,25486.0
0105536000,San Nicolas,Pangasinan,Region I (Ilocos Region),19217.0,20738.0,22232.0,23993.0
0105537000,San Quintin,Pangasinan,Region I (Ilocos Region),17032.0,13669.0,20441.0,22478.0
0105538000,Santa Barbara,Pangasinan,Region I (Ilocos Region),37313.0,41721.0,48336.0,51595.0
0105539000,Santa Maria,Pangasinan,Region I (Ilocos Region),11490.0,17110.0,19523.0,20777.0
0105540000,Santo Tomas,Pangasinan,Region I (Ilocos Region),5805.0,5935.0,8174.0,8471.0
0105541000,Sison,Pangasinan,Region I (Ilocos Region),21624.0,24451.0,27601.0,28486.0
0105542000,Sual,Pangasinan,Region I (Ilocos Region),11553.0,22535.0,26860.0,29746.0
0105543000,Tayug,Pangasinan,Region I (Ilocos Region),19776.0,18003.0,25101.0,27922.0
0105544000,Umingan,Pangasinan,Region I (Ilocos Region),36318.0,40636.0,44431.0,48002.0
0105545000,Urbiztondo,Pangasinan,Region I (Ilocos Region),24997.0,28223.0,34183.0,36376.0
0105546000,City of Urdaneta,Pangasinan,Region I (Ilocos Region),40191.0,68755.0,81765.0,89237.0
0105547000,Villasis,Pangasinan,Region I (Ilocos Region),30278.0,33221.0,36458.0,39016.0
0105548000,Laoac,Pangasinan,Region I (Ilocos Region),11612.0,16524.0,19015.0,19180.0
0200901000,Basco ,Batanes,Region II (Cagayan Valley),4021.0,4113.0,5063.0,4936.0
0200902000,Itbayat,Batanes,Region II (Cagayan Valley),1392.0,1435.0,1624.0,1653.0
0200903000,Ivana,Batanes,Region II (Cagayan Valley),826.0,883.0,1031.0,1013.0
0200904000,Mahatao,Batanes,Region II (Cagayan Valley),959.0,1017.0,1205.0,1276.0
0200905000,Sabtang,Batanes,Region II (Cagayan Valley),1040.0,1079.0,1239.0,1193.0
0200906000,Uyugan,Batanes,Region II (Cagayan Valley),851.0,864.0,1019.0,1030.0
0201501000,Abulug,Cagayan,Region II (Cagayan Valley),11021.0,13618.0,14998.0,15348.0
0201502000,Alcala,Cagayan,Region II (Cagayan Valley),13891.0,16092.0,18243.0,20729.0
0201503000,Allacapan,Cagayan,Region II (Cagayan Valley),15011.0,12859.0,13397.0,17606.0
0201504000,Amulung,Cagayan,Region II (Cagayan Valley),19469.0,22496.0,26049.0,27685.0
0201505000,Aparri,Cagayan,Region II (Cagayan Valley),24471.0,26725.0,31545.0,32558.0
0201506000,Baggao,Cagayan,Region II (Cagayan Valley),29876.0,33532.0,38774.0,41978.0
0201507000,Ballesteros,Cagayan,Region II (Cagayan Valley),14445.0,15284.0,17869.0,18271.0
0201508000,Buguey,Cagayan,Region II (Cagayan Valley),12420.0,13156.0,15655.0,13926.0
0201509000,Calayan,Cagayan,Region II (Cagayan Valley),7175.0,5495.0,6316.0,7376.0
0201510000,Camalaniugan,Cagayan,Region II (Cagayan Valley),11125.0,11978.0,13206.0,10289.0
0201511000,Claveria,Cagayan,Region II (Cagayan Valley),15110.0,16202.0,17869.0,16328.0
0201512000,Enrile,Cagayan,Region II (Cagayan Valley),9468.0,16733.0,19062.0,19844.0
0201513000,Gattaran,Cagayan,Region II (Cagayan Valley),21030.0,23223.0,28093.0,29689.0
0201514000,Gonzaga,Cagayan,Region II (Cagayan Valley),18775.0,20376.0,23098.0,24211.0
0201515000,Iguig,Cagayan,Region II (Cagayan Valley),11462.0,12740.0,14634.0,15968.0
0201516000,Lal-Lo,Cagayan,Region II (Cagayan Valley),16677.0,20290.0,22416.0,24015.0
0201517000,Lasam,Cagayan,Region II (Cagayan Valley),11292.0,16667.0,20297.0,21404.0
0201518000,Pamplona,Cagayan,Region II (Cagayan Valley),10524.0,12235.0,13651.0,13540.0
0201519000,Peñablanca,Cagayan,Region II (Cagayan Valley),18367.0,18991.0,23614.0,25914.0
0201520000,Piat,Cagayan,Region II (Cagayan Valley),7453.0,9165.0,14416.0,15203.0
0201521000,Rizal,Cagayan,Region II (Cagayan Valley),3758.0,9159.0,10151.0,10876.0
0201522000,Sanchez-Mira,Cagayan,Region II (Cagayan Valley),11114.0,11329.0,14292.0,14247.0
0201523000,Santa Ana,Cagayan,Region II (Cagayan Valley),14345.0,15591.0,18779.0,17603.0
0201524000,Santa Praxedes,Cagayan,Region II (Cagayan Valley),2842.0,2850.0,2747.0,2473.0
0201525000,Santa Teresita,Cagayan,Region II (Cagayan Valley),7591.0,8963.0,6755.0,10430.0
0201526000,Santo Niño,Cagayan,Region II (Cagayan Valley),12590.0,13528.0,15051.0,16715.0
0201527000,Solana,Cagayan,Region II (Cagayan Valley),33140.0,29317.0,36993.0,36738.0
0201528000,Tuao,Cagayan,Region II (Cagayan Valley),24752.0,25782.0,29835.0,31762.0
0201529000,Tuguegarao City ,Cagayan,Region II (Cagayan Valley),64097.0,66800.0,78003.0,80314.0
0203101000,Alicia,Isabela,Region II (Cagayan Valley),24341.0,33634.0,37391.0,37774.0
0203102000,Angadanan,Isabela,Region II (Cagayan Valley),19241.0,20699.0,21881.0,22606.0
0203103000,Aurora,Isabela,Region II (Cagayan Valley),9513.0,18406.0,19693.0,20128.0
0203104000,Benito Soliven,Isabela,Region II (Cagayan Valley),12456.0,13492.0,15057.0,16671.0
0203105000,Burgos,Isabela,Region II (Cagayan Valley),6185.0,12110.0,10694.0,13572.0
0203106000,Cabagan,Isabela,Region II (Cagayan Valley),18399.0,21361.0,22328.0,22859.0
0203107000,Cabatuan,Isabela,Region II (Cagayan Valley),17599.0,14977.0,20529.0,22528.0
0203108000,City of Cauayan,Isabela,Region II (Cagayan Valley),55110.0,54516.0,71660.0,74121.0
0203109000,Cordon,Isabela,Region II (Cagayan Valley),18949.0,21490.0,24395.0,23689.0
0203110000,Dinapigue,Isabela,Region II (Cagayan Valley),3198.0,3278.0,3673.0,4545.0
0203111000,Divilacan,Isabela,Region II (Cagayan Valley),2757.0,0.0,2661.0,3130.0
0203112000,Echague,Isabela,Region II (Cagayan Valley),39743.0,35986.0,44430.0,40279.0
0203113000,Gamu,Isabela,Region II (Cagayan Valley),13694.0,14415.0,16524.0,16690.0
0203114000,City of Ilagan ,Isabela,Region II (Cagayan Valley),58275.0,68161.0,70713.0,81119.0
0203115000,Jones,Isabela,Region II (Cagayan Valley),20490.0,21991.0,24531.0,22924.0
0203116000,Luna,Isabela,Region II (Cagayan Valley),9961.0,10769.0,11968.0,12257.0
0203117000,Maconacon,Isabela,Region II (Cagayan Valley),,2138.0,2409.0,2864.0
0203118000,Delfin Albano,Isabela,Region II (Cagayan Valley),12387.0,12747.0,14241.0,12858.0
